deal_id,stage,amount_usd,probability,close_date
DL-001,Qualified,850000,0.25,2026-03-31
DL-002,Qualified,620000,0.25,2026-03-31
DL-003,Qualified,740000,0.25,2026-04-30
DL-004,Qualified,480000,0.25,2026-04-30
DL-005,Qualified,1110000,0.25,2026-04-30
DL-006,Proposal,720000,0.45,2026-03-31
DL-007,Proposal,580000,0.45,2026-03-15
DL-008,Proposal,950000,0.45,2026-03-31
DL-009,Proposal,650000,0.45,2026-02-28
DL-010,Negotiation,420000,0.70,2026-02-28
DL-011,Negotiation,580000,0.70,2026-02-28
DL-012,Negotiation,600000,0.70,2026-02-28
DL-013,Closed Won,380000,0.95,2026-01-31
DL-014,Closed Won,490000,0.95,2026-01-31
DL-015,Closed Won,560000,0.95,2026-01-31
DL-016,Closed Won,670000,0.95,2026-01-31
DL-017,Invoiced,310000,1.0,2026-01-15
DL-018,Invoiced,420000,1.0,2026-01-20
DL-019,Invoiced,280000,1.0,2026-01-25
DL-020,Invoiced,390000,1.0,2026-01-28
